multidimensional_vida.varcharidcomunafk;multidimensional_vida.intaño;multidimensional_vida.decentornocalidadvivienda;multidimensional_vida.decaccesoserviciospublicos;multidimensional_vida.decmedioambiente;multidimensional_vida.decescolaridad;multidimensional_vida.decdescolarizacion;multidimensional_vida.decmovilidad;multidimensional_vida.deccapitalfisicohogar;multidimensional_vida.decparticipacion;multidimensional_vida.declibertadseguridad;multidimensional_vida.decvulnerabilida;multidimensional_vida.decsalud;multidimensional_vida.dectrabajo;multidimensional_vida.decrecreacion;multidimensional_vida.decpercepcioncalidadvida;multidimensional_vida.decingresos;multidimensional_vida.decimcv
08;2017;2.29775791;3.66556296;2.40859865;1.98918395;4.11868418;1.35408468;4.56357022;1.1219537;1.69030337;8.79440219;2.95170784;0.52801431;0.05261347;1.39905236;1.32155278;38.41
08;2018;2.29889346;3.7129646;2.46715168;2.00488695;4.18987399;1.43611678;4.89732949;1.24474849;1.75459614;8.84661544;3.11298307;0.49379933;0.06909732;1.47970403;1.52845429;39.67
09;2011;4.3;4.0;3.4;2.34;4.15;1.74;6.37;1.07;1.86;11.71;3.68;0.64;0.49;1.53;1.57;48.89
09;2012;4.32;4.06;3.12;2.44;4.15;1.57;6.69;1.19;1.77;11.92;3.52;0.62;0.43;1.51;1.78;49.2
09;2013;4.34;4.08;2.78;2.48;4.19;1.5;6.66;1.32;1.85;11.79;3.41;0.69;0.05;1.46;1.71;48.23
09;2014;4.36221283;4.1180462;2.858181;2.43190346;4.23597328;1.4867209;6.52651971;1.44486017;1.80613195;12.30197126;3.39827998;0.72714727;0.06489418;1.49802162;1.87718539;49.07
09;2015;4.334;4.014;2.78;2.656;4.255;1.546;6.244;1.271;1.911;12.471;3.729;0.625;0.071;1.513;1.854;49.21
09;2016;4.39831225;4.10663132;2.92259497;2.50346189;4.23342881;1.56874623;6.6490335;1.3344407;1.91787789;11.96628844;3.59894349;0.68250503;0.07129933;1.60041776;1.89978218;49.39
09;2017;4.3410674;3.96993552;2.7382904;2.47330527;4.29545859;1.46899057;6.33095572;1.23042963;1.71381633;12.29081296;3.38616341;0.57938653;0.09835152;1.52189933;1.77500643;48.21
09;2018;4.39576827;4.00242438;2.91175456;2.51509336;4.30357844;1.62618458;6.63996866;1.35391692;1.8559665;12.38827927;3.62413597;0.56155075;0.06925871;1.60856932;1.98633007;49.91
10;2011;6.62;4.03;2.96;2.78;4.31;1.67;7.6;1.17;1.61;15.17;3.76;0.62;0.52;1.55;1.95;56.23
10;2012;6.71;4.1;2.53;3.1;4.35;1.61;7.9;1.16;1.54;15.82;3.56;0.69;0.43;1.68;2.3;57.49
10;2013;6.59;4.15;2.51;3.12;4.34;1.58;7.85;1.47;1.64;14.99;3.6;0.8;0.07;1.56;2.42;56.76
10;2014;6.56709537;4.09538881;2.54201817;3.02962284;4.39094312;1.50362404;7.89471963;1.42013945;1.60125817;15.59128862;3.61844015;0.67783945;0.10993872;1.53427817;2.23602642;56.95
10;2015;6.458;3.884;2.146;3.015;4.364;1.525;7.039;1.402;1.653;15.556;3.645;0.718;0.109;1.523;1.887;54.67
10;2016;6.60087108;4.00004432;2.42514757;2.97247575;4.32915838;1.58850757;7.59654405;1.37623189;1.68140649;14.71617216;3.67744338;0.71554135;0.06983541;1.56083378;2.36583008;55.91
10;2017;6.45976757;3.78290639;2.5832225;2.7879757;4.35424944;1.52877806;7.33667139;1.37968778;1.58461944;15.44886194;3.49687464;0.56732667;0.06146667;1.47331083;2.18881306;55.29
10;2018;6.58598023;3.99996359;2.55383137;2.99894148;4.39019468;1.6632619;7.52440672;1.505607;1.57572577;15.50772493;3.65559484;0.57441485;0.13789244;1.58135098;2.31554576;56.42
11;2011;8.79;4.2;3.63;3.7;4.37;1.82;10.9;1.38;1.72;19.87;4.31;0.69;0.55;1.79;2.93;70.87
11;2012;8.79;4.18;3.29;3.91;4.45;1.67;10.66;1.4;1.75;19.94;3.96;0.69;0.43;1.75;2.93;69.85
11;2013;8.78;4.29;3.17;3.8;4.46;1.72;10.82;1.58;1.74;19.21;4.18;0.64;0.08;1.78;2.89;69.19
11;2014;8.77384843;4.21505088;3.24240855;3.78857269;4.47124491;1.70124233;10.96145482;1.66821481;1.70229607;19.80157178;4.11696899;0.65192592;0.10519674;1.71823867;3.07801262;70.1
11;2015;8.8;4.109;3.126;3.811;4.496;1.717;9.612;1.602;1.869;19.764;3.526;0.648;0.086;1.731;2.564;67.46
11;2016;8.78379921;4.2807334;3.16281473;3.87585335;4.46905658;1.74369548;10.89643674;1.67783006;1.8197057;19.81389077;4.18269494;0.70083831;0.07413242;1.77804145;3.0684004;70.38
11;2017;8.81168797;4.09821604;2.97677019;3.75593352;4.43093604;1.65448774;10.44443453;1.58010529;1.78238377;19.79249094;3.98752781;0.58238189;0.10900189;1.73563226;2.90017278;68.91
11;2018;8.81480544;4.17644395;3.1298643;3.85963931;4.48826276;1.71894376;10.52543071;1.71088925;1.73872226;19.86388752;4.13656588;0.49361631;0.13424607;1.72520557;3.11213127;69.62
12;2011;7.31;4.16;3.44;3.13;4.33;1.7;9.04;1.31;1.7;16.78;4.08;0.66;0.41;1.61;2.58;62.25
12;2012;7.27;4.18;3.34;3.48;4.41;1.64;9.06;1.4;1.71;17.14;3.88;0.61;0.43;1.66;2.56;62.72
12;2013;7.34;4.18;3.32;3.37;4.36;1.7;9.22;1.52;1.77;16.61;3.86;0.73;0.06;1.64;2.41;62.14
12;2014;7.32786548;4.15361061;3.49553248;3.3040389;4.34960289;1.6989172;9.23268087;1.50371881;1.82193698;17.05750836;4.0061841;0.69099132;0.08955965;1.62691704;2.49083617;63.0
12;2015;7.322;4.126;3.019;2.988;4.399;1.697;7.966;1.47;1.896;17.037;3.682;0.587;0.064;1.609;1.921;59.79
12;2016;7.479799;4.24213473;3.34760123;3.19325211;4.32512389;1.70493473;9.33637167;1.54827808;1.86787635;17.22733325;4.02046818;0.69706305;0.08025468;1.65817291;2.57034175;63.46
12;2017;7.45179542;4.2106601;3.08415986;3.36004964;4.40549567;1.61408486;8.9423613;1.46763639;1.81645913;17.32680192;3.8016445;0.58299159;0.11457452;1.67843606;2.50252633;62.19
12;2018;7.28143475;4.10446064;3.19134134;3.21089453;4.4042354;1.72738243;8.8329948;1.62336955;1.69258218;16.92778985;3.98691527;0.53029332;0.1431005;1.67456361;2.66073127;61.94
13;2011;2.3;3.78;2.62;1.86;4.02;1.4;4.65;1.03;1.06;7.96;3.1;0.55;0.33;1.36;1.21;37.19
13;2012;2.3;3.82;2.78;1.98;4.05;1.4;4.65;1.08;1.07;8.57;2.97;0.58;0.31;1.42;1.24;38.3
13;2013;2.32;3.77;2.7;1.93;4.08;1.5;4.96;1.0;1.49;8.43;3.2;0.62;0.06;1.45;1.35;38.61
13;2014;2.34861917;3.82934949;2.77658016;1.93278125;4.06909651;1.43175547;4.9595123;1.18811309;1.55795209;8.70849493;3.158748;0.59198895;0.04965941;1.41556629;1.42119233;39.2
13;2015;2.358;3.722;2.496;2.13;4.122;1.385;4.477;1.291;1.753;9.306;3.344;0.524;0.049;1.432;1.169;39.54
13;2016;2.48744206;3.79027605;2.44942111;2.06469748;4.11570218;1.43913216;5.02329831;1.20783317;1.73078358;8.04293367;3.15893545;0.61700804;0.06789028;1.47435343;1.57346577;39.23
13;2017;2.53586125;3.76302414;2.50913957;2.07677171;4.23462381;1.3752156;4.80260828;1.25978998;1.64209146;9.3325601;3.00602185;0.52189836;0.0602775;1.45166223;1.46750609;40.06
13;2018;2.41178496;3.81042319;2.7823;2.16357383;4.12964408;1.41330724;4.97775369;1.37012702;1.22431447;8.91911776;3.18444359;0.52460724;0.08256053;1.45268388;1.67374926;40.42
